show_id,date_added,release_year,rating,duration,listed_in
s1113,04/02/2021,2017,PG,91 min,"Children & Family Movies, Comedies"
s1114,04/01/2021,2009,PG-13,158 min,"Action & Adventure, Sci-Fi & Fantasy"
s1115,04/01/2021,2009,PG-13,164 min,"Comedies, Dramas, International Movies"
s1116,04/01/2021,2012,TV-PG,133 min,"Comedies, International Movies, Sports Movies"
s1118,04/01/2021,2019,TV-PG,75 min,"Documentaries, International Movies"
s1119,04/01/2021,2010,PG-13,103 min,"Horror Movies, Thrillers"
s1120,04/01/2021,2015,R,90 min,"Action & Adventure, Horror Movies"
s1121,04/01/2021,2016,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy"
s1122,04/01/2021,2001,PG-13,96 min,"Comedies, Romantic Movies"
s1123,04/01/2021,2020,TV-14,121 min,"Dramas, International Movies"
s1125,04/01/2021,1996,R,101 min,Action & Adventure
s1127,04/01/2021,1964,G,173 min,"Classic Movies, Music & Musicals"
s1129,04/01/2021,2017,R,89 min,"Action & Adventure, International Movies"
s1131,04/01/2021,2017,TV-14,182 min,"Action & Adventure, Dramas, International Movies"
s1132,04/01/2021,2017,TV-14,181 min,"Action & Adventure, Dramas, International Movies"
s1133,04/01/2021,2017,TV-14,185 min,"Action & Adventure, Dramas, International Movies"
s1134,04/01/2021,2016,R,99 min,Action & Adventure
s1135,04/01/2021,2017,R,88 min,"Action & Adventure, Sci-Fi & Fantasy"
s1136,04/01/2021,2010,PG-13,107 min,Action & Adventure
s1137,04/01/2021,2021,TV-14,114 min,"Dramas, International Movies, Romantic Movies"
s1138,04/01/2021,2019,TV-PG,96 min,"Action & Adventure, International Movies, Music & Musicals"
s1139,04/01/2021,2002,R,149 min,"Dramas, Independent Movies, International Movies"
s1140,04/01/2021,2009,PG-13,102 min,"Horror Movies, Thrillers"
s1141,04/01/2021,1999,R,83 min,Action & Adventure
s1142,04/01/2021,2016,TV-14,98 min,"Dramas, International Movies, Thrillers"
s1143,04/01/2021,2017,TV-MA,83 min,Documentaries
s1145,04/01/2021,2008,PG-13,104 min,"Comedies, Romantic Movies"
s1146,3/31/2021,2018,PG-13,111 min,Dramas
s1147,3/31/2021,2021,TV-14,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows"
s1148,3/31/2021,2020,TV-MA,98 min,"Documentaries, International Movies, Sports Movies"
s1151,3/30/2021,2021,TV-PG,93 min,Documentaries
s1152,3/30/2021,2021,TV-Y,73 min,Children & Family Movies
s1160,3/26/2021,2018,TV-MA,87 min,"Dramas, International Movies"
s1154,3/29/2021,2013,PG-13,141 min,"Dramas, International Movies"
s1155,3/28/2021,2012,R,116 min,Dramas
s1156,3/28/2021,2021,TV-PG,21 min,"Documentaries, International Movies"
s1157,3/26/2021,2021,TV-PG,98 min,"Children & Family Movies, Faith & Spirituality, Music & Musicals"
s1161,3/26/2021,1998,TV-MA,95 min,"Dramas, Independent Movies, Thrillers"
s1163,3/26/2021,2020,TV-14,93 min,"Dramas, International Movies"
s1165,3/26/2021,2020,TV-MA,97 min,"Comedies, International Movies"
s1166,3/26/2021,2021,TV-PG,114 min,"Comedies, Dramas, International Movies"
s1168,3/25/2021,2021,TV-14,100 min,"Dramas, International Movies, Romantic Movies"
s1171,3/25/2021,2021,TV-Y7,105 min,"Children & Family Movies, Comedies"
s1172,3/24/2021,2021,TV-14,90 min,Documentaries
s1173,3/23/2021,2021,TV-MA,60 min,Stand-Up Comedy
s1174,3/23/2021,2021,TV-14,6 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows"
s1184,3/19/2021,2020,TV-G,84 min,"International Movies, Music & Musicals"
s1176,3/22/2021,2013,PG-13,98 min,"Dramas, Independent Movies, International Movies"
s1177,3/20/2021,2020,TV-MA,108 min,"Dramas, International Movies"
s1178,3/20/2021,2020,TV-MA,90 min,"Horror Movies, International Movies"
s1179,3/20/2021,2020,R,102 min,Action & Adventure
s1185,3/19/2021,2021,TV-14,120 min,"Action & Adventure, International Movies"
s1186,3/19/2021,2020,TV-MA,106 min,"Comedies, International Movies, Romantic Movies"
s1188,3/18/2021,2021,R,115 min,Thrillers
s1189,3/18/2021,2021,TV-14,98 min,"Action & Adventure, Comedies, International Movies"
s1190,3/18/2021,2021,TV-G,60 min,Stand-Up Comedy
s1191,3/18/2021,2020,R,113 min,Action & Adventure
s1192,3/18/2021,2014,PG-13,101 min,Stand-Up Comedy
s1193,3/18/2021,2020,TV-MA,24 min,"Dramas, International Movies"
s1195,3/17/2021,2017,TV-14,80 min,"Dramas, International Movies, Thrillers"
s1196,3/17/2021,2021,R,100 min,Documentaries
s1197,3/17/2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s1198,3/16/2021,2014,PG-13,139 min,"Dramas, Music & Musicals"
s1199,3/16/2021,2021,TV-MA,74 min,Stand-Up Comedy
s1200,3/16/2021,2012,R,131 min,"Dramas, Thrillers"
s1203,3/15/2021,2021,TV-14,131 min,"Dramas, International Movies, Romantic Movies"
s1204,3/15/2021,2016,PG,118 min,"Children & Family Movies, Dramas"
s1205,3/15/2021,2020,TV-14,87 min,Documentaries
s1209,03/12/2021,2015,TV-MA,97 min,"Comedies, International Movies"
s1210,03/12/2021,2020,TV-G,92 min,"Comedies, Dramas, International Movies"
s1212,03/12/2021,2015,TV-14,136 min,"Dramas, International Movies"
s1208,3/14/2021,2020,TV-14,101 min,Documentaries
s1194,3/18/2021,2020,TV-PG,51 min,"Documentaries, International Movies, Music & Musicals"
s1213,03/12/2021,2021,TV-MA,97 min,"Dramas, International Movies"
s1215,03/12/2021,2020,TV-MA,103 min,"Dramas, International Movies, Music & Musicals"
s1216,03/12/2021,2010,TV-MA,110 min,"Comedies, International Movies, Romantic Movies"
s1217,03/12/2021,2013,TV-MA,105 min,"Comedies, International Movies, Romantic Movies"
